jType,jNo,qNo,choice,confidence,reason
1,3,1,,4,menschen%20mit%20Migrationshintergrund%20reagieren%20generel%20sehr%20emotional%20bei%20einer%20entscheidung
1,3,2,,2,man%20m%C3%B6chte%20doch%20unbedingt%20den%20grund%20wissen
1,3,3,,2,beide%20antworten%20sind%20%C3%A4hnlich%20
,,,,,
0,2,1,,4,Man%20umgib%20sich%20oft%20mit%20gleichen%20Meschen%20seiner%20%22Grupp%22%20und%20daher%20denke%20ich%20ist%20diese%20Persn%20der%20Imiator
0,2,2,,3,Die%20Antwort%20zwei%20wikt%20eher%20eingach%20aus%20dem%20Bauch%20heraus%2C%20und%20daher%20scheint%20mit%20Antwort%201%20die%20des%20Imitators%20zu%20sein.
0,2,3,,4,Auch%20wenn%20die%20Frage%20schlecht%20gestellt%20war%2C%20w%C3%BCrde%20der%20Ehrliche%20sie%20beantworten.
0,2,4,,3,Antwort%201%20lobt%20den%20deutschen%20Fu%C3%9Fball%20und%20daher%20denke%20ich%20dass%20Antwort%202%20der%20Imitator%20ist.
0,2,5,,4,Dien%20Antwort%20wirkt%20%C3%BCberspitzt%20und%20klingt%20daher%20ausgedacht.
0,2,6,,2,K%C3%B6nnten%20beide%20in%20Frage%20kommen%2C%20jedoch%20erscheint%20mir%20Antwort%201%20mit%20dem%20zweiten%20Halbsatz%20eher%20als%20die%20imitierte%20Antwort.
0,2,7,,3,Diese%20Antwort%20ist%20zu%20%22deutsch%22
,,,,,
0,4,1,,3,Weil%20die%20antwort%20im%20Gegensatz%20zu%20der%20anderen%20ziemlich%20kurz%20ist%20.
0,4,2,,4,Die%201.Antwort%20hat%20sich%20so%20gelesen%20als%20ob%20er%20kein%20Migrationshintergrund%20h%C3%A4tte%20also%20bin%20ich%20mir%20ziemlich%20sicher%20.
0,4,3,,4,Bin%20mir%20zu%20100%25%20sicher%20%2C%20denn%20Antwort%201%20kam%20sehr%20glaubhaft%20r%C3%BCber%20.
0,4,4,,1,Weil%20es%20kurz%20und%20knapp%20ist%20...
0,4,5,,2,Antwort%201%20kommt%20sehr%20glaubw%C3%BCrdig%20r%C3%BCber%20.
0,4,6,,2,Antwort%202%20kommt%20nicht%20so%20glaubhaft%20r%C3%BCber%20wie%20Antwort%201.
0,4,7,,4,Antwort%201%20ist%20sehr%20glaubhaft
,,,,,
0,1,1,,4,Die%20andere%20Person%20hat%20so%20geantwortet%2C%20als%20wenn%20er%20%C3%BCber%20diese%20Frage%20schon%20mal%20nachgedacht%20hat%20und%20auch%20pers%C3%B6nlich%20betroffen%20sein%20k%C3%B6nnte:
0,1,2,,4,Die%20Antwort%201%20klingt%20schon%20so%2C%20als%20wenn%20die%20Person%20sich%20entschuldigen%20will.%20
0,1,3,,4,Mein%20Bauchgef%C3%BChl
0,1,4,,2,Die%20Person%20antwortet%20so%2C%20als%20wenn%20sie%20eventuel%20schon%20mal%20in%20dieser%20Situation%20war.
0,1,5,,4,Kaum%20ein%20Deutscher%20hat%20das%20Finale%20nicht%20gefeiert.
,,,,,
0,5,1,,4,Schwer%20die%20entscheidung%20zu%20begr%C3%BCnden%2C%20da%20die%20beiden%20antwoten%20%C3%A4hnlich%20sind
0,5,2,,2,Schwirige%20Entscheidung
0,5,3,,4,Es%20sieht%20von%20der%20Form%20her%20besser%20aus
0,5,4,,4,Form
0,5,5,,4,einfach%20so
0,5,6,,4,Intuition
0,5,7,,4,Denke%20ist%20klar
0,5,8,,2,Bauchgef%C3%BChl
,,,,,
1,5,1,,3,Afrika%20ist%20zu%20allgemein%20ein%20Afrikaner%20w%C3%BCrde%20sein%20Land%20Nennen%20und%20nicht%20den%20Kontinent%0AUnd%20Mann%20ist%20nicht%20Neuk%C3%B6llner%20sondern%20Berliner.
1,5,2,,4,Da%20es%20eine%20klar%20gestellte%20Frage%20ist.
1,5,3,,3,Diesen%20Satz%20sagt%20so%20keiner%3A-)!!!
1,5,4,,2,Die%20Antwort%20klingt%20zu%20diplomatisch.%20Ruhe%20rein%20bringen%20w%C3%BCrde%20ich%20nicht.%20Eher%20schlimmeres%20verhindern.
1,5,5,,1,Einfach%20nach%20gef%C3%BChl%20gew%C3%A4hlt.
